         7221921 function calls (6871246 primitive calls) in 34.186 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      175    0.001    0.000   24.999    0.143 /home/manu/src/merchise/pgi/openerp/openerp/service/server.py:907(process_work)
      173    0.007    0.000   24.993    0.144 /home/manu/src/merchise/pgi/openerp/openerp/service/server.py:890(process_request)
      173    0.001    0.000   24.984    0.144 /usr/lib/python2.7/SocketServer.py:315(process_request)
      173    0.003    0.000   24.976    0.144 /usr/lib/python2.7/SocketServer.py:332(finish_request)
      173    0.001    0.000   24.972    0.144 /usr/lib/python2.7/SocketServer.py:643(__init__)
      173    0.002    0.000   24.966    0.144 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/serving.py:199(handle)
      173    0.001    0.000   24.964    0.144 /usr/lib/python2.7/BaseHTTPServer.py:336(handle)
      173    0.003    0.000   24.963    0.144 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/serving.py:232(handle_one_request)
      173    0.002    0.000   24.909    0.144 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/serving.py:120(run_wsgi)
      173    0.002    0.000   24.888    0.144 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/serving.py:167(execute)
      173    0.001    0.000   24.796    0.143 /home/manu/src/merchise/pgi/openerp/openerp/service/wsgi_server.py:217(application)
      173    0.006    0.000   24.795    0.143 /home/manu/src/merchise/pgi/openerp/openerp/service/wsgi_server.py:185(application_unproxied)
  174/173    0.001    0.000   24.775    0.143 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1354(__call__)
  348/173    0.001    0.000   24.769    0.143 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1314(__call__)
  348/173    0.002    0.000   24.768    0.143 /home/manu/src/merchise/pgi/openerp/openerp/http.py:108(_call_)
  348/173    0.005    0.000   24.767    0.143 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1391(static_app)
  348/173    0.033    0.000   24.762    0.143 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/wsgi.py:567(__call__)
    25/24    0.002    0.000   24.281    1.012 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1496(dispatch)
157967/98    0.231    0.000   23.718    0.242 /home/manu/src/merchise/pgi/openerp/openerp/api.py:245(wrapper)
    25/24    0.000    0.000   23.440    0.977 /home/manu/src/merchise/pgi/odoo/addons/crm/ir_http.py:12(_dispatch)
    25/24    0.001    0.000   23.439    0.977 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_http.py:149(_dispatch)
    25/24    0.000    0.000   23.152    0.965 /home/manu/src/merchise/pgi/openerp/openerp/http.py:355(_call_function)
    25/24    0.000    0.000   23.151    0.965 /home/manu/src/merchise/pgi/openerp/openerp/service/model.py:42(wrapper)
    25/24    0.000    0.000   23.150    0.965 /home/manu/src/merchise/pgi/openerp/openerp/http.py:370(checked_call)
    25/24    0.000    0.000   23.149    0.965 /home/manu/src/merchise/pgi/openerp/openerp/http.py:871(__call__)
    25/24    0.000    0.000   23.149    0.965 /home/manu/src/merchise/pgi/openerp/openerp/http.py:470(response_wrap)
  461/245    0.121    0.000   21.793    0.089 /home/manu/src/merchise/pgi/openerp/openerp/models.py:3147(read)
       20    0.000    0.000   21.340    1.067 /home/manu/src/merchise/pgi/openerp/openerp/http.py:623(dispatch)
  346/192    0.002    0.000   21.091    0.110 /home/manu/src/merchise/pgi/openerp/openerp/models.py:3140(read)
112513/21872    0.213    0.000   20.906    0.001 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:799(__get__)
